Time (s),Core 0 Uncore Frequency (GHz),Core 1 Uncore Frequency (GHz)
0.10016655921936035,2.2,2.1
0.2752382755279541,2.2,2.2
0.4472336769104004,2.2,2.2
0.6233909130096436,2.2,2.2
0.844252347946167,2.2,2.2
1.0261378288269043,2.2,2.2
1.2037498950958252,2.2,2.2
1.3780741691589355,2.2,2.2
1.548140287399292,2.2,2.2
1.7150909900665283,2.2,2.2
1.8931710720062256,2.2,2.2
2.062192440032959,2.2,2.2
2.2253262996673584,2.2,2.2
2.390141248703003,2.2,2.2
2.5539093017578125,2.2,2.2
2.7189900875091553,2.2,2.2
2.8922231197357178,2.2,2.2
3.067854166030884,2.2,2.2
3.2386584281921387,2.2,2.2
3.393380641937256,2.2,2.2
3.548532009124756,2.2,2.2
3.7040538787841797,2.2,2.2
3.871400833129883,2.2,2.2
4.038657903671265,2.2,2.2
4.206348896026611,1.6,1.6
4.407304286956787,1.6,1.5
4.616415500640869,2.2,2.2
4.799960136413574,2.2,2.2
4.966047763824463,2.2,2.2
5.140355110168457,2.2,2.2
5.3163557052612305,2.2,2.2
5.490170240402222,2.2,2.2
5.661438703536987,2.2,2.2
5.833792686462402,2.2,2.2
6.0115134716033936,2.2,2.2
6.1861045360565186,2.2,2.2
6.362502574920654,2.2,2.2
6.534400701522827,2.2,2.2
6.709265232086182,2.2,2.2
6.882693767547607,2.2,2.2
7.053939342498779,2.2,2.2
7.227633476257324,2.2,2.2
7.401248931884766,2.2,2.2
7.5800535678863525,2.2,2.2
7.752870321273804,2.2,2.2
7.92817759513855,2.2,2.2
8.102842330932617,2.2,2.2
8.277582883834839,2.2,2.2
8.45118260383606,2.2,2.2
8.622859954833984,2.2,2.2
8.794759035110474,2.2,2.2
8.966183423995972,2.2,2.2
9.139404296875,2.2,2.2
9.312286853790283,2.2,2.2
9.488062143325806,2.2,2.2
9.668174743652344,2.2,2.2
9.844608545303345,2.2,2.2
10.018128871917725,2.2,2.2
10.19192123413086,2.2,2.2
10.367892503738403,2.2,2.2
10.54123067855835,2.2,2.2
10.720277786254883,2.2,2.2
10.893713235855103,2.2,2.2
11.066205024719238,2.2,2.2
11.239333868026733,2.2,2.2
11.411207437515259,2.2,2.2
11.582147359848022,2.2,2.2
11.753676891326904,2.2,2.2
11.92554521560669,2.2,2.2
12.099000692367554,2.2,2.2
12.270486831665039,2.2,2.2
12.440784215927124,2.2,2.2
12.613365650177002,2.2,2.2
12.789435863494873,2.2,2.2
13.081648826599121,2.2,2.2
13.25534701347351,2.2,2.2
13.42819595336914,2.2,2.2
13.603977918624878,2.2,2.2
13.77464771270752,2.2,2.2
13.949955701828003,2.2,2.2
14.125557899475098,2.2,2.2
14.300461292266846,2.2,2.2
14.48752498626709,2.2,2.2
14.659280776977539,2.2,2.2
14.83187985420227,2.2,2.2
15.004276275634766,2.2,2.2
15.178269624710083,2.2,2.2
15.350057363510132,2.2,2.2
15.5247323513031,2.2,2.2
15.698704957962036,2.2,2.2
15.87250304222107,2.2,2.2
16.046386003494263,2.2,2.2
16.220780849456787,2.2,2.2
16.39530301094055,2.2,2.2
16.568548440933228,2.2,2.2
16.741708517074585,2.2,2.2
16.913174152374268,2.2,2.2
17.0874080657959,2.2,2.2
17.268154621124268,2.2,2.2
17.442975282669067,2.2,2.2
17.617025136947632,2.2,2.2
17.791329622268677,2.2,2.2
17.963605880737305,2.2,2.2
18.138774156570435,2.2,2.2
18.308873891830444,2.2,2.2
18.47722339630127,2.2,2.2
18.650546073913574,2.2,2.2
18.824320077896118,2.2,2.2
18.999116897583008,2.2,2.2
19.170050859451294,2.2,2.2
19.344093084335327,2.2,2.2
19.516547918319702,2.2,2.2
19.68816304206848,2.2,2.2
19.859862089157104,2.2,2.2
20.03031277656555,2.2,2.2
20.207983255386353,2.2,2.2
20.381656885147095,2.2,2.2
20.557722091674805,2.2,2.2
20.731708526611328,2.2,2.2
20.914254426956177,2.2,2.2
21.093342065811157,2.2,2.2
21.264487743377686,2.2,2.2
21.436559677124023,2.2,2.2
21.60906457901001,2.2,2.2
21.783649444580078,2.2,2.2
21.955753087997437,2.2,2.2
22.128551721572876,2.2,2.2
22.29903244972229,2.2,2.2
22.472330808639526,2.2,2.2
22.642427921295166,2.2,2.2
22.817949533462524,2.2,2.2
22.988433837890625,2.2,2.2
23.169650316238403,2.2,2.2
23.34131360054016,2.2,2.2
23.513043880462646,2.2,2.2
23.685576677322388,2.2,2.2
23.859554290771484,2.2,2.2
24.03390383720398,2.2,2.2
24.209003925323486,2.2,2.2
24.377577543258667,2.2,2.2
24.549707651138306,2.2,2.2
24.72105598449707,2.2,2.2
24.89591693878174,2.2,2.2
25.066684246063232,2.2,2.2
25.23922896385193,2.2,2.2
25.412359952926636,2.2,2.2
25.584466457366943,2.2,2.2
25.75721836090088,2.2,2.2
25.93150234222412,2.2,2.2
26.111857891082764,2.2,2.2
26.288742303848267,2.2,2.2
26.463704586029053,2.2,2.2
26.639897108078003,2.2,2.2
26.815523624420166,2.2,2.2
26.98790693283081,2.2,2.2
27.162614583969116,2.2,2.2
27.335266590118408,2.2,2.2
27.508167505264282,2.2,2.2
27.682035446166992,2.2,2.2
27.85019063949585,2.2,2.2
28.02189874649048,2.2,2.2
28.19442582130432,2.2,2.2
28.36392331123352,2.2,2.2
28.53149437904358,2.2,2.2
28.722856998443604,2.2,2.2
28.897048234939575,2.2,2.2
29.067214250564575,2.2,2.2
29.23525071144104,2.2,2.2
29.40261459350586,2.2,2.2
29.57892084121704,2.2,2.2
29.753659963607788,2.2,2.2
29.929234743118286,2.2,2.2
30.113077640533447,2.2,2.2
30.285199880599976,2.2,2.2
30.458650588989258,2.2,2.2
30.628140449523926,2.2,2.2
30.798766613006592,2.2,2.2
30.974987030029297,2.2,2.2
31.14959478378296,2.2,2.2
31.328218698501587,2.2,2.2
31.50050377845764,2.2,2.2
31.677910566329956,2.2,2.2
31.849254369735718,2.2,2.2
32.02279448509216,2.2,2.2
32.19734811782837,2.2,2.2
32.373231410980225,2.2,2.2
32.54587507247925,2.2,2.2
32.722604274749756,2.2,2.2
32.8982298374176,2.2,2.2
33.070985317230225,2.2,2.2
33.241573095321655,2.2,2.2
33.420674324035645,2.2,2.2
33.59537935256958,2.2,2.2
33.76918959617615,2.2,2.2
33.945305824279785,2.2,2.2
34.121110677719116,2.2,2.2
34.29618859291077,2.2,2.2
34.4717230796814,2.2,2.2
34.648367404937744,2.2,2.2
34.825035095214844,2.2,2.2
34.999616384506226,2.2,2.2
35.17437791824341,2.2,2.2
35.34967231750488,2.2,2.2
35.52358412742615,2.2,2.2
35.6957004070282,2.2,2.2
35.870476722717285,2.2,2.2
36.04683876037598,2.2,2.2
36.21805787086487,2.2,2.2
36.39244079589844,2.2,2.2
36.56542706489563,2.2,2.2
36.74105763435364,2.2,2.2
36.913419008255005,2.2,2.2
37.085572242736816,2.2,2.2
37.262371301651,2.2,2.2
37.4323410987854,2.2,2.2
37.605719327926636,2.2,2.2
37.78066873550415,2.2,2.2
37.95529794692993,2.2,2.2
38.13590049743652,2.2,2.2
38.31250071525574,2.2,2.2
38.48606848716736,2.2,2.2
38.660367250442505,2.2,2.2
38.836018323898315,2.2,2.2
39.01117539405823,2.2,2.2
39.18316054344177,2.2,2.2
39.35689616203308,2.2,2.2
39.532172441482544,2.2,2.2
39.70887207984924,2.2,2.2
39.88337278366089,2.2,2.2
40.055954456329346,2.2,2.2
40.23238945007324,2.2,2.2
40.4072904586792,2.2,2.2
40.57950830459595,2.2,2.2
40.755216121673584,2.2,2.2
40.93028521537781,2.2,2.2
41.10562038421631,2.2,2.2
41.2855384349823,2.2,2.2
41.45997452735901,2.2,2.2
41.633440017700195,2.2,2.2
41.80826210975647,2.2,2.2
41.98349952697754,2.2,2.2
42.15614104270935,2.2,2.2
42.32917284965515,2.2,2.2
42.51249980926514,2.2,2.2
42.68604016304016,2.2,2.2
42.857186794281006,2.2,2.2
43.032073974609375,2.2,2.2
43.20791554450989,2.2,2.2
43.379470348358154,2.2,2.2
43.554056882858276,2.2,2.2
43.725815773010254,2.2,2.2
43.89807367324829,2.2,2.2
44.0735445022583,2.2,2.2
44.24852919578552,2.2,2.2
44.41972279548645,2.2,2.2
44.594486951828,2.2,2.2
44.76851725578308,2.2,2.2
44.94352698326111,2.2,2.2
45.11689758300781,2.2,2.2
45.29373645782471,2.2,2.2
45.46940851211548,2.2,2.2
45.64486646652222,2.2,2.2
45.82060122489929,2.2,2.2
45.993990659713745,2.2,2.2
46.16842317581177,2.2,2.2
46.34112906455994,2.2,2.2
46.51361346244812,2.2,2.2
46.6873984336853,2.2,2.2
46.862091064453125,2.2,2.2
47.03629231452942,2.2,2.2
47.20852279663086,2.2,2.2
47.381399631500244,2.2,2.2
47.55604434013367,2.2,2.2
47.7315878868103,2.2,2.2
47.90462636947632,2.2,2.2
48.079846143722534,2.2,2.2
48.25228524208069,2.2,2.2
48.424739599227905,2.2,2.2
48.597185373306274,2.2,2.2
48.769479513168335,2.2,2.2
48.941569566726685,2.2,2.2
49.11344361305237,2.2,2.2
49.287747621536255,2.2,2.2
49.46147894859314,2.2,2.2
49.63425254821777,2.2,2.2
49.8093056678772,2.2,2.2
